	Ano	CasaID	ID_partida	PlacarCasa	PlacarVisitante	Resultado	Rodada	VisitanteID	abrev_clube_casa	abrev_clube_fora
1258	2015	262	190157	1.0	2.0	Visitante	11	316	FLA	FIG
1262	2016	262	201391	2.0	0.0	Casa	26	316	FLA	FIG
1266	2014	266	179873	3.0	0.0	Casa	1	316	FLU	FIG
1270	2015	266	190235	2.0	1.0	Casa	19	316	FLU	FIG
1274	2016	266	201526	3.0	2.0	Casa	18	316	FLU	FIG
1278	2014	276	180175	1.0	1.0	Empate	37	316	SAO	FIG
1282	2015	276	190414	3.0	2.0	Casa	37	316	SAO	FIG
1286	2016	276	201346	3.0	1.0	Casa	24	316	SAO	FIG
1290	2014	277	179966	3.0	1.0	Casa	23	316	SAN	FIG
1294	2015	277	190175	3.0	0.0	Casa	13	316	SAN	FIG
1298	2016	277	201307	0.0	1.0	Visitante	22	316	SAN	FIG
1302	2014	293	180103	3.0	0.0	Casa	28	316	CAP	FIG
1306	2015	293	190100	1.0	0.0	Casa	5	316	CAP	FIG
1310	2016	293	201262	2.0	1.0	Casa	4	316	CAP	FIG
1314	2014	282	180196	1.0	1.0	Empate	34	316	CAM	FIG
1318	2015	282	190198	1.0	0.0	Casa	15	316	CAM	FIG
1322	2016	282	201519	3.0	0.0	Casa	32	316	CAM	FIG
1326	2014	265	179931	3.0	0.0	Casa	21	316	BAH	FIG
1328	2014	285	180174	2.0	3.0	Visitante	19	316	INT	FIG
1332	2015	285	190318	1.0	1.0	Empate	27	316	INT	FIG
1336	2016	285	201436	1.0	0.0	Casa	28	316	INT	FIG
1340	2014	288	179906	1.0	0.0	Casa	3	316	CRI	FIG
1342	2014	315	180093	0.0	1.0	Visitante	14	316	CHA	FIG
1346	2015	315	190222	2.0	2.0	Empate	17	316	CHA	FIG
1350	2016	315	201563	1.0	0.0	Casa	34	316	CHA	FIG
1354	2014	263	180183	0.0	1.0	Visitante	35	316	BOT	FIG
1358	2016	263	201370	0.0	0.0	Empate	10	316	BOT	FIG
1364	2014	292	180184	1.0	0.0	Casa	32	316	SPT	FIG
1368	2015	292	190061	4.0	1.0	Casa	1	316	SPT	FIG
1372	2016	292	201607	2.0	0.0	Casa	38	316	SPT	FIG
1374	2014	264	179930	0.0	1.0	Visitante	5	316	COR	FIG
1378	2015	264	190133	2.0	1.0	Casa	9	316	COR	FIG
1382	2016	264	201490	1.0	1.0	Empate	16	316	COR	FIG
1386	2014	275	179950	1.0	0.0	Casa	6	316	PAL	FIG
1390	2015	275	190295	2.0	0.0	Casa	25	316	PAL	FIG
1394	2016	275	201409	4.0	0.0	Casa	12	316	PAL	FIG
1398	2014	294	180037	0.0	2.0	Visitante	10	316	CFC	FIG
1402	2015	294	190381	1.0	1.0	Empate	33	316	CFC	FIG
1406	2016	294	201483	0.0	0.0	Empate	30	316	CFC	FIG
1410	2014	283	180059	5.0	0.0	Casa	12	316	CRU	FIG
1414	2015	283	190279	5.0	1.0	Casa	23	316	CRU	FIG
1418	2016	283	201240	2.0	2.0	Empate	2	316	CRU	FIG
1422	2014	287	180131	0.0	1.0	Visitante	17	316	VIT	FIG
1426	2016	287	201577	4.0	0.0	Casa	36	316	VIT	FIG
1430	2014	284	180236	1.0	0.0	Casa	30	316	GRE	FIG
1434	2015	284	190077	1.0	0.0	Casa	3	316	GRE	FIG
1438	2016	284	201458	2.0	1.0	Casa	14	316	GRE	FIG
1442	2014	290	180036	1.0	0.0	Casa	26	316	GOI	FIG
1444	2015	290	190342	2.0	3.0	Visitante	29	316	GOI	FIG
1446	2015	267	190257	0.0	1.0	Visitante	21	316	VAS	FIG
1448	2015	314	190119	1.0	1.0	Empate	7	316	AVA	FIG
1450	2015	303	190396	0.0	1.0	Visitante	35	316	PON	FIG
1454	2016	303	201284	2.0	0.0	Casa	20	316	PON	FIG
1458	2015	317	190363	1.0	0.0	Casa	31	316	JEC	FIG
1460	2016	327	201308	1.0	0.0	Casa	6	316	AME	FIG
1462	2016	344	201350	1.0	0.0	Casa	8	316	SCZ	FIG
1464	2014	262	180014	0.0	1.0	Visitante	26	277	FLA	SAN
1468	2015	262	190206	2.0	2.0	Empate	16	277	FLA	SAN
1472	2016	262	201589	2.0	0.0	Casa	37	277	FLA	SAN
1476	2017	262	211210	1.0	2.0		37	277	FLA	SAN
1480	2014	266	180041	1.0	0.0	Casa	11	277	FLU	SAN
1484	2015	266	190146	2.0	1.0	Casa	10	277	FLU	SAN
1488	2016	266	201371	2.0	4.0	Visitante	10	277	FLU	SAN
1492	2017	266	211239	3.0	2.0		1	277	FLU	SAN
1496	2014	276	180127	2.0	1.0	Casa	17	277	SAO	SAN
1500	2015	276	190093	3.0	2.0	Casa	5	277	SAO	SAN
1504	2016	276	201474	0.0	1.0	Visitante	30	277	SAO	SAN
1508	2017	276	211302	2.0	1.0		31	277	SAO	SAN
1512	2014	293	180202	1.0	1.0	Empate	35	277	CAP	SAN
1516	2015	293	190240	0.0	0.0	Empate	19	277	CAP	SAN
1520	2016	293	201364	1.0	0.0	Casa	9	277	CAP	SAN
1524	2017	293	211354	0.0	2.0		6	277	CAP	SAN
1528	2014	282	179982	3.0	2.0	Casa	24	277	CAM	SAN
1532	2015	282	190118	2.0	2.0	Empate	7	277	CAM	SAN
1536	2016	282	201234	1.0	0.0	Casa	1	277	CAM	SAN
1540	2017	282	211493	0.0	1.0		13	277	CAM	SAN
1544	2014	265	180006	0.0	2.0	Visitante	8	277	BAH	SAN
1546	2017	265	211236	3.0	1.0		35	277	BAH	SAN
1548	2014	285	180075	1.0	0.0	Casa	13	277	INT	SAN
1552	2015	285	190137	1.0	0.0	Casa	9	277	INT	SAN
1556	2016	285	201331	2.0	1.0	Casa	23	277	INT	SAN
1560	2014	288	180112	3.0	0.0	Casa	28	277	CRI	SAN
1562	2014	315	180173	1.0	1.0	Empate	31	277	CHA	SAN
1566	2015	315	190082	1.0	0.0	Casa	3	277	CHA	SAN
1570	2016	315	201525	0.0	1.0	Visitante	32	277	CHA	SAN
1574	2017	315	211258	2.0	0.0		34	277	CHA	SAN
1578	2014	263	180136	1.0	0.0	Casa	18	277	BOT	SAN
1582	2016	263	201361	0.0	1.0	Visitante	25	277	BOT	SAN
1586	2017	263	211448	2.0	0.0		24	277	BOT	SAN
1592	2014	292	179895	3.0	1.0	Casa	20	277	SPT	SAN
1596	2015	292	190282	1.0	1.0	Empate	23	277	SPT	SAN
1600	2016	292	201425	1.0	0.0	Casa	27	277	SPT	SAN
1604	2017	292	211345	1.0	1.0		29	277	SPT	SAN
1606	2014	264	180212	1.0	0.0	Casa	33	277	COR	SAN
1610	2015	264	190314	2.0	0.0	Casa	27	277	COR	SAN
1614	2016	264	201268	1.0	0.0	Casa	5	277	COR	SAN
1618	2017	264	211312	2.0	0.0		4	277	COR	SAN
1622	2014	275	180248	1.0	3.0	Visitante	29	277	PAL	SAN
1626	2015	275	190185	1.0	0.0	Casa	14	277	PAL	SAN
1630	2016	275	201456	1.0	1.0	Empate	14	277	PAL	SAN
1634	2017	275	211411	0.0	1.0		26	277	PAL	SAN
1638	2014	294	179886	0.0	0.0	Empate	2	277	CFC	SAN
1642	2015	294	190411	1.0	0.0	Casa	36	277	CFC	SAN
1646	2016	294	201292	2.0	1.0	Casa	21	277	CFC	SAN
1650	2017	294	211504	0.0	0.0		21	277	CFC	SAN
1654	2014	283	180104	3.0	0.0	Casa	15	277	CRU	SAN
1658	2015	283	190259	0.0	1.0	Visitante	21	277	CRU	SAN
1662	2016	283	201582	2.0	2.0	Empate	36	277	CRU	SAN
1666	2017	283	211483	1.0	1.0		22	277	CRU	SAN
1670	2014	287	180154	0.0	1.0	Visitante	38	277	VIT	SAN
1674	2016	287	201481	2.0	3.0	Visitante	16	277	VIT	SAN
1678	2017	287	211406	0.0	2.0		9	277	VIT	SAN
1682	2014	284	179954	0.0	0.0	Empate	22	277	GRE	SAN
1686	2015	284	190348	1.0	0.0	Casa	30	277	GRE	SAN
1690	2016	284	201413	3.0	2.0	Casa	12	277	GRE	SAN
1694	2017	284	211575	1.0	1.0		17	277	GRE	SAN
1698	2014	316	179923	0.0	2.0	Visitante	4	277	FIG	SAN
1702	2015	316	190370	0.0	0.0	Empate	32	277	FIG	SAN
1706	2016	316	201566	2.0	2.0	Empate	3	277	FIG	SAN
1710	2014	290	179963	2.0	2.0	Empate	6	277	GOI	SAN
1712	2015	290	190172	4.0	1.0	Casa	12	277	GOI	SAN
1714	2015	267	190417	1.0	0.0	Casa	37	277	VAS	SAN
1716	2017	267	211510	0.0	0.0		14	277	VAS	SAN
1718	2015	314	190059	1.0	1.0	Empate	1	277	AVA	SAN
1720	2017	314	211538	0.0	0.0		19	277	AVA	SAN
1722	2015	303	190296	3.0	1.0	Casa	25	277	PON	SAN
1726	2016	303	201564	1.0	2.0	Visitante	34	277	PON	SAN
1730	2017	303	211377	1.0	1.0		27	277	PON	SAN
1734	2015	317	190393	0.0	0.0	Empate	34	277	JEC	SAN
1736	2016	327	201554	1.0	0.0	Casa	19	277	AME	SAN
1738	2016	344	201328	0.0	2.0	Visitante	7	277	SCZ	SAN
1740	2017	373	211447	1.0	1.0		11	277	ACG	SAN
1742	2014	262	180031	1.0	2.0	Visitante	10	293	FLA	CAP
1746	2015	262	190226	3.0	2.0	Casa	18	293	FLA	CAP
1750	2016	262	201541	1.0	0.0	Casa	19	293	FLA	CAP
1754	2017	262	211480	2.0	0.0		22	293	FLA	CAP
1758	2014	266	180140	2.0	1.0	Casa	31	293	FLU	CAP
1762	2015	266	190366	0.0	1.0	Visitante	32	293	FLU	CAP
1766	2016	266	201568	1.0	1.0	Empate	35	293	FLU	CAP
1770	2017	266	211329	1.0	1.0		5	293	FLU	CAP
1774	2014	276	180069	1.0	0.0	Casa	27	293	SAO	CAP
1778	2015	276	190334	1.0	0.0	Casa	29	293	SAO	CAP
1782	2016	276	201315	1.0	2.0	Visitante	7	293	SAO	CAP
1786	2017	276	211362	2.0	1.0		28	293	SAO	CAP
1790	2014	277	180117	2.0	0.0	Casa	16	293	SAN	CAP
1794	2015	277	190425	5.0	1.0	Casa	38	293	SAN	CAP
1798	2016	277	201430	2.0	0.0	Casa	28	293	SAN	CAP
1802	2017	277	211431	1.0	0.0		25	293	SAN	CAP
1806	2014	282	180072	3.0	1.0	Casa	13	293	CAM	CAP
1810	2015	282	190269	0.0	1.0	Visitante	22	293	CAM	CAP
1814	2016	282	201290	1.0	0.0	Casa	21	293	CAM	CAP
1818	2017	282	211383	0.0	1.0		7	293	CAM	CAP
1822	2014	265	180241	1.0	2.0	Visitante	36	293	BAH	CAP
1824	2017	265	211246	6.0	2.0		1	293	BAH	CAP
1826	2014	285	179922	2.0	1.0	Casa	4	293	INT	CAP
1830	2015	285	190248	2.0	0.0	Casa	20	293	INT	CAP
1834	2016	285	201271	1.0	0.0	Casa	5	293	INT	CAP
1838	2014	288	180237	0.0	1.0	Visitante	30	293	CRI	CAP
1840	2014	315	179990	3.0	0.0	Casa	24	293	CHA	CAP
1844	2015	315	190383	0.0	0.0	Empate	33	293	CHA	CAP
1848	2016	315	201382	0.0	0.0	Empate	10	293	CHA	CAP
1852	2017	315	211478	1.0	1.0		12	293	CHA	CAP
1856	2014	263	180209	0.0	2.0	Visitante	33	293	BOT	CAP
1860	2016	263	201246	2.0	1.0	Casa	3	293	BOT	CAP
1864	2017	263	211249	0.0	1.0		34	293	BOT	CAP
1870	2014	292	180098	1.0	1.0	Empate	15	293	SPT	CAP
1874	2015	292	190412	0.0	0.0	Empate	36	293	SPT	CAP
1878	2016	292	201520	2.0	0.0	Casa	17	293	SPT	CAP
1882	2017	292	211445	1.0	0.0		11	293	SPT	CAP
1884	2014	264	179949	1.0	1.0	Empate	6	293	COR	CAP
1888	2015	264	190164	2.0	0.0	Casa	12	293	COR	CAP
1892	2016	264	201590	0.0	0.0	Empate	37	293	COR	CAP
1896	2017	264	211512	2.0	2.0		14	293	COR	CAP
1900	2014	275	180149	1.0	1.0	Empate	38	293	PAL	CAP
1904	2015	275	190204	0.0	1.0	Visitante	16	293	PAL	CAP
1908	2016	275	201229	4.0	0.0	Casa	1	293	PAL	CAP
1912	2017	275	211531	0.0	1.0		19	293	PAL	CAP
1916	2014	294	180021	1.0	0.0	Casa	26	293	CFC	CAP
1920	2015	294	190321	2.0	0.0	Casa	27	293	CFC	CAP
1924	2016	294	201415	1.0	0.0	Casa	12	293	CFC	CAP
1928	2017	294	211314	1.0	0.0		4	293	CFC	CAP
1932	2014	283	179951	2.0	0.0	Casa	22	293	CRU	CAP
1936	2015	283	190159	2.0	0.0	Casa	11	293	CRU	CAP
1940	2016	283	201457	0.0	3.0	Visitante	14	293	CRU	CAP
1944	2017	283	211283	1.0	0.0		32	293	CRU	CAP
1948	2014	287	179888	2.0	2.0	Empate	2	293	VIT	CAP
1952	2016	287	201556	3.0	2.0	Casa	34	293	VIT	CAP
1956	2017	287	211346	2.0	3.0		29	293	VIT	CAP
1960	2014	284	179910	1.0	0.0	Casa	20	293	GRE	CAP
1964	2015	284	190117	2.0	1.0	Casa	7	293	GRE	CAP
1968	2016	284	201482	1.0	0.0	Casa	30	293	GRE	CAP
1972	2017	284	211505	0.0	0.0		21	293	GRE	CAP
1976	2014	316	180028	1.0	3.0	Visitante	9	293	FIG	CAP
1980	2015	316	190290	1.0	1.0	Empate	24	293	FIG	CAP
1984	2016	316	201338	1.0	0.0	Casa	23	293	FIG	CAP
1988	2014	290	180157	3.0	1.0	Casa	18	293	GOI	CAP
1990	2015	290	190071	2.0	0.0	Casa	2	293	GOI	CAP
1992	2015	267	190297	2.0	0.0	Casa	25	293	VAS	CAP
1994	2017	267	211570	0.0	1.0		17	293	VAS	CAP
1996	2015	314	190199	1.0	2.0	Visitante	15	293	AVA	CAP
1998	2017	314	211218	1.0	0.0		37	293	AVA	CAP
2000	2015	303	190135	2.0	1.0	Casa	9	293	PON	CAP
2004	2016	303	201348	3.0	2.0	Casa	8	293	PON	CAP
2008	2017	303	211237	2.0	1.0		35	293	PON	CAP
2012	2015	317	190092	1.0	2.0	Visitante	4	293	JEC	CAP
2014	2016	327	201527	1.0	0.0	Casa	32	293	AME	CAP
2016	2016	344	201383	1.0	0.0	Casa	25	293	SCZ	CAP
2018	2017	373	211397	0.0	1.0		8	293	ACG	CAP
2020	2014	262	180053	1.0	0.0	Casa	12	263	FLA	BOT
2024	2016	262	201557	0.0	0.0	Empate	34	263	FLA	BOT
2028	2017	262	211310	0.0	0.0		4	263	FLA	BOT
2032	2014	266	180187	1.0	0.0	Casa	34	263	FLU	BOT
2036	2016	266	201257	1.0	0.0	Casa	4	263	FLU	BOT
2040	2017	266	211489	0.0	1.0		13	263	FLU	BOT
2044	2014	276	179874	3.0	0.0	Casa	1	263	SAO	BOT
2048	2016	276	201278	0.0	1.0	Visitante	20	263	SAO	BOT
2052	2017	276	211222	0.0	0.0		36	263	SAO	BOT
2056	2014	277	180177	2.0	0.0	Casa	37	263	SAN	BOT
2060	2016	277	201300	3.0	0.0	Casa	6	263	SAN	BOT
2064	2017	277	211331	1.0	0.0		5	263	SAN	BOT
2068	2014	293	180088	2.0	0.0	Casa	14	263	CAP	BOT
2072	2016	293	201314	1.0	0.0	Casa	22	263	CAP	BOT
2076	2017	293	211544	0.0	0.0		15	263	CAP	BOT
2080	2014	282	180171	1.0	0.0	Casa	19	263	CAM	BOT
2084	2016	282	201410	5.0	3.0	Casa	12	263	CAM	BOT
2088	2017	282	211303	0.0	0.0		31	263	CAM	BOT
2092	2014	265	179903	1.0	0.0	Casa	3	263	BAH	BOT
2094	2017	265	211486	1.0	2.0		22	263	BAH	BOT
2096	2014	285	179932	2.0	0.0	Casa	21	263	INT	BOT
2100	2016	285	201394	2.0	3.0	Visitante	11	263	INT	BOT
2104	2014	288	179972	1.0	1.0	Empate	23	263	CRI	BOT
2106	2014	315	180244	2.0	0.0	Casa	36	263	CHA	BOT
2110	2016	315	201499	2.0	1.0	Casa	16	263	CHA	BOT
2114	2017	315	211398	0.0	2.0		8	263	CHA	BOT
2120	2014	292	180033	1.0	0.0	Casa	10	263	SPT	BOT
2124	2016	292	201245	1.0	1.0	Empate	2	263	SPT	BOT
2128	2017	292	211265	1.0	2.0		33	263	SPT	BOT
2130	2014	264	180097	1.0	1.0	Empate	9	263	COR	BOT
2134	2016	264	201357	3.0	1.0	Casa	9	263	COR	BOT
2138	2017	264	211442	1.0	0.0		11	263	COR	BOT
2142	2014	275	180000	0.0	2.0	Visitante	8	263	PAL	BOT
2146	2016	275	201581	1.0	0.0	Casa	36	263	PAL	BOT
2150	2017	275	211211	2.0	0.0		37	263	PAL	BOT
2154	2014	294	180232	2.0	0.0	Casa	30	263	CFC	BOT
2158	2016	294	201459	0.0	0.0	Empate	14	263	CFC	BOT
2162	2017	294	211434	2.0	3.0		25	263	CFC	BOT
2166	2014	283	180205	2.0	1.0	Casa	32	263	CRU	BOT
2170	2016	283	201349	0.0	2.0	Visitante	24	263	CRU	BOT
2174	2017	283	211533	0.0	0.0		19	263	CRU	BOT
2178	2014	287	180027	2.0	1.0	Casa	26	263	VIT	BOT
2182	2016	287	201386	0.0	1.0	Visitante	26	263	VIT	BOT
2186	2017	287	211386	2.0	2.0		7	263	VIT	BOT
2190	2014	284	179959	2.0	1.0	Casa	6	263	GRE	BOT
2194	2016	284	201603	0.0	1.0	Visitante	38	263	GRE	BOT
2198	2017	284	211245	2.0	0.0		1	263	GRE	BOT
2202	2014	316	180122	1.0	0.0	Casa	16	263	FIG	BOT
2206	2016	316	201462	0.0	1.0	Visitante	29	263	FIG	BOT
2210	2014	290	179944	2.0	0.0	Casa	5	263	GOI	BOT
2212	2017	267	211360	1.0	0.0		28	263	VAS	BOT
2214	2017	314	211348	1.0	1.0		29	263	AVA	BOT
2216	2016	303	201537	2.0	0.0	Casa	18	263	PON	BOT
2220	2017	303	211507	2.0	1.0		21	263	PON	BOT
2224	2016	327	201424	1.0	0.0	Casa	27	263	AME	BOT
2226	2016	344	201529	0.0	1.0	Visitante	32	263	SCZ	BOT
2228	2017	373	211567	1.0	1.0		16	263	ACG	BOT
2231	2014	262	180082	1.0	0.0	Casa	14	292	FLA	SPT
2235	2015	262	190066	2.0	2.0	Empate	2	292	FLA	SPT
2239	2016	262	201226	1.0	0.0	Casa	1	292	FLA	SPT
2243	2017	262	211450	2.0	0.0		24	292	FLA	SPT
2247	2014	266	180126	4.0	0.0	Casa	17	292	FLU	SPT
2251	2015	266	190105	0.0	0.0	Empate	6	292	FLU	SPT
2255	2016	266	201427	3.0	1.0	Casa	28	292	FLU	SPT
2259	2017	266	211209	1.0	2.0		37	292	FLU	SPT
2263	2014	276	180167	2.0	0.0	Casa	19	292	SAO	SPT
2267	2015	276	190374	3.0	0.0	Casa	33	292	SAO	SPT
2271	2016	276	201373	0.0	0.0	Empate	10	292	SAO	SPT
2275	2017	276	211412	1.0	0.0		26	292	SAO	SPT
2279	2014	277	179875	1.0	1.0	Empate	1	292	SAN	SPT
2283	2015	277	190084	2.0	2.0	Empate	4	292	SAN	SPT
2287	2016	277	201336	2.0	0.0	Casa	8	292	SAN	SPT
2291	2017	277	211421	0.0	1.0		10	292	SAN	SPT
2295	2014	293	180195	0.0	1.0	Visitante	34	292	CAP	SPT
2299	2015	293	190219	1.0	1.0	Empate	17	292	CAP	SPT
2303	2016	293	201584	2.0	0.0	Casa	36	292	CAP	SPT
2307	2017	293	211324	2.0	1.0		30	292	CAP	SPT
2311	2014	282	180156	3.0	2.0	Casa	31	292	CAM	SPT
2315	2015	282	190169	2.0	1.0	Casa	12	292	CAM	SPT
2319	2016	282	201372	1.0	0.0	Casa	25	292	CAM	SPT
2323	2017	282	211403	2.0	2.0		9	292	CAM	SPT
2327	2014	265	179984	1.0	0.0	Casa	24	292	BAH	SPT
2329	2017	265	211576	1.0	3.0		17	292	BAH	SPT
2331	2014	285	179904	2.0	1.0	Casa	3	292	INT	SPT
2335	2015	285	190338	2.0	1.0	Casa	29	292	INT	SPT
2339	2016	285	201251	1.0	0.0	Casa	3	292	INT	SPT
2343	2014	288	180191	2.0	2.0	Empate	37	292	CRI	SPT
2345	2014	315	179935	3.0	1.0	Casa	21	292	CHA	SPT
2349	2015	315	190143	1.0	1.0	Empate	9	292	CHA	SPT
2353	2016	315	201484	3.0	0.0	Casa	30	292	CHA	SPT
2357	2017	315	211288	1.0	1.0		32	292	CHA	SPT
2361	2014	263	180245	1.0	1.0	Empate	29	292	BOT	SPT
2365	2016	263	201286	3.0	0.0	Casa	21	292	BOT	SPT
2369	2017	263	211509	2.0	1.0		14	292	BOT	SPT
2373	2014	264	180018	3.0	0.0	Casa	26	292	COR	SPT
2377	2015	264	190223	4.0	3.0	Casa	18	292	COR	SPT
2381	2016	264	201327	3.0	0.0	Casa	23	292	COR	SPT
2385	2017	264	211532	3.0	1.0		19	292	COR	SPT
2389	2014	275	180197	0.0	2.0	Visitante	35	292	PAL	SPT
2393	2015	275	190365	0.0	2.0	Visitante	32	292	PAL	SPT
2397	2016	275	201516	2.0	1.0	Casa	32	292	PAL	SPT
2401	2017	275	211231	5.0	1.0		35	292	PAL	SPT
2405	2014	294	179917	0.0	1.0	Visitante	4	292	CFC	SPT
2409	2015	294	190271	0.0	0.0	Empate	22	292	CFC	SPT
2413	2016	294	201322	3.0	2.0	Casa	7	292	CFC	SPT
2417	2017	294	211474	0.0	3.0		12	292	CFC	SPT
2421	2014	283	179956	2.0	0.0	Casa	6	292	CRU	SPT
2425	2015	283	190399	3.0	0.0	Casa	35	292	CRU	SPT
2429	2016	283	201495	1.0	2.0	Visitante	16	292	CRU	SPT
2433	2017	283	211503	2.0	0.0		21	292	CRU	SPT
2437	2014	287	180025	0.0	1.0	Visitante	9	292	VIT	SPT
2441	2016	287	201404	3.0	2.0	Casa	12	292	VIT	SPT
2445	2017	287	211376	1.0	2.0		27	292	VIT	SPT
2449	2014	284	180081	2.0	0.0	Casa	27	292	GRE	SPT
2453	2015	284	190197	1.0	1.0	Empate	15	292	GRE	SPT
2457	2016	284	201561	0.0	3.0	Visitante	34	292	GRE	SPT
2461	2017	284	211485	5.0	0.0		22	292	GRE	SPT
2465	2014	316	180077	3.0	0.0	Casa	13	292	FIG	SPT
2469	2015	316	190250	2.0	1.0	Casa	20	292	FIG	SPT
2473	2016	316	201552	1.0	1.0	Empate	19	292	FIG	SPT
2477	2014	290	180052	0.0	0.0	Empate	11	292	GOI	SPT
2479	2015	290	190292	1.0	0.0	Casa	24	292	GOI	SPT
2481	2015	267	190317	2.0	1.0	Casa	27	292	VAS	SPT
2483	2017	267	211350	2.0	1.0		6	292	VAS	SPT
2485	2015	314	190160	2.0	2.0	Empate	11	292	AVA	SPT
2487	2017	314	211318	1.0	0.0		4	292	AVA	SPT
2489	2015	303	190426	0.0	1.0	Visitante	38	292	PON	SPT
2493	2016	303	201461	2.0	1.0	Casa	14	292	PON	SPT
2497	2017	303	211247	4.0	0.0		1	292	PON	SPT
2501	2015	317	190313	1.0	1.0	Empate	26	292	JEC	SPT
2503	2016	327	201596	2.0	2.0	Empate	37	292	AME	SPT
2505	2016	344	201276	0.0	1.0	Visitante	5	292	SCZ	SPT
2507	2017	373	211257	2.0	0.0		34	292	ACG	SPT
2508	2014	262	180094	3.0	0.0	Casa	28	283	FLA	CRU
2512	2015	262	190287	2.0	0.0	Casa	24	283	FLA	CRU
2516	2016	262	201412	2.0	1.0	Casa	27	283	FLA	CRU
2520	2017	262	211260	2.0	0.0		33	283	FLA	CRU
2524	2014	266	180164	3.0	3.0	Empate	19	283	FLU	CRU
2528	2015	266	190166	1.0	0.0	Casa	12	283	FLU	CRU
2532	2016	266	201466	2.0	0.0	Casa	15	283	FLU	CRU
2536	2017	266	211539	1.0	1.0		15	283	FLU	CRU
2540	2014	276	179921	2.0	0.0	Casa	21	283	SAO	CRU
2544	2015	276	190193	1.0	0.0	Casa	15	283	SAO	CRU
2548	2016	276	201365	1.0	0.0	Casa	25	283	SAO	CRU
2552	2017	276	211522	3.0	2.0		20	283	SAO	CRU
2556	2014	277	180192	0.0	1.0	Visitante	34	283	SAN	CRU
2560	2015	277	190064	1.0	0.0	Casa	2	283	SAN	CRU
2564	2016	277	201509	2.0	0.0	Casa	17	283	SAN	CRU
2568	2017	277	211291	0.0	1.0		3	283	SAN	CRU
2572	2014	293	179898	2.0	3.0	Visitante	3	283	CAP	CRU
2576	2015	293	190351	2.0	2.0	Empate	30	283	CAP	CRU
2580	2016	293	201547	1.0	0.0	Casa	33	283	CAP	CRU
2584	2017	293	211494	0.0	2.0		13	283	CAP	CRU
2588	2014	282	179918	2.0	1.0	Casa	4	283	CAM	CRU
2592	2015	282	190108	1.0	3.0	Visitante	6	283	CAM	CRU
2596	2016	282	201319	2.0	3.0	Visitante	7	283	CAM	CRU
2600	2017	282	211443	3.0	1.0		11	283	CAM	CRU
2604	2014	265	179878	1.0	2.0	Visitante	1	283	BAH	CRU
2606	2017	265	211336	1.0	0.0		5	283	BAH	CRU
2608	2014	285	179986	1.0	3.0	Visitante	7	283	INT	CRU
2612	2015	285	190428	2.0	0.0	Casa	38	283	INT	CRU
2616	2016	285	201593	1.0	0.0	Casa	37	283	INT	CRU
2620	2014	288	180092	0.0	0.0	Empate	14	283	CRI	CRU
2622	2014	315	180194	1.0	1.0	Empate	37	283	CHA	CRU
2626	2015	315	190323	0.0	2.0	Visitante	27	283	CHA	CRU
2630	2016	315	201416	3.0	2.0	Casa	12	283	CHA	CRU
2634	2017	315	211468	1.0	2.0		23	283	CHA	CRU
2638	2014	263	180064	1.0	1.0	Empate	13	283	BOT	CRU
2642	2016	263	201266	0.0	1.0	Visitante	5	283	BOT	CRU
2646	2017	263	211199	2.0	2.0		38	283	BOT	CRU
2652	2014	292	179993	0.0	0.0	Empate	25	283	SPT	CRU
